,Type of Attack,Attempted or Raped,Reported To,Consequences of the attack,Date of Incident,Districts,Sources
2051,opportunist,assault,victim,physical injury,19/07/2022,banke,inseconline.org
2052,minor,assault,police,physical injury,20/07/2022,kapilvastu,inseconline.org
2053,minor,assault,police,physical injury,20/07/2022,rupandehi,ratopati.com
2054,gang,abuse,police,physical injury,20/07/2022,makwanpur,onlinekhabar.com
2055,opportunist,assault,victim,physical injury,21/07/2022,rupandehi,inseconline.org
2056,opportunist,attempt,police,physical injury,21/07/2022,siraha,inseconline.org
2057,minor,assault,family,murder,23/07/2022,parsa,onlinekhabar.com
2058,minor,assault,police,physical injury,23/07/2022,dang,ekantipur.com
2059,minor,abuse,police,physical injury,24/07/2022,dang,deshsanchar.com
2060,gang,assault,police,physical injury,24/07/2022,morang,inseconline.org
2061,opportunist,assault,police,physical injury,25/07/2022,kathmandu,ratopati.com
2062,opportunist,assault,police,physical injury,25/07/2022,jhapa,ratopati.com
2063,opportunist,assault,police,physical injury,26/07/2022,jhapa,ratopati.com
2064,minor,assault,police,physical injury,27/07/2022,kanchanpur,deshsanchar.com
2065,opportunist,assault,police,physical injury,28/07/2022,terhathum,thahakhabar.com
2066,opportunist,assault,police,physical injury,28/07/2022,dang,setopati.com
2067,minor,assault,police,physical injury,28/07/2022,palpa,inseconline.org
2068,opportunist,assault,victim,physical injury,28/07/2022,kapilvastu,inseconline.org
2069,opportunist,assault,police,physical injury,28/07/2022,siraha,kharibot.com
2070,opportunist,attempt,police,physical injury,28/07/2022,rupandehi,ratopati.com
2071,opportunist,assault,police,physical injury,29/07/2022,sunsari,nagariknetwork.com
2072,opportunist,attempt,police,physical injury,29/07/2022,banke,nagariknetwork.com
2073,minor,assault,police,physical injury,30/07/2022,nawalparasi,inseconline.org
2074,opportunist,assault,police,physical injury,1/8/2022,humla,inseconline.org
2075,minor,assault,police,physical injury,2/8/2022,dang,setopati.com
2076,minor,assault,police,physical injury,3/8/2022,illam,inseconline.org
2077,opportunist,assault,police,physical injury,3/8/2022,morang,inseconline.org
2078,minor,assault,parents,physical injury,5/8/2022,siraha,inseconline.org
2079,opportunist,assault,victim,physical injury,5/8/2022,dhanusa,inseconline.org
2080,opportunist,assault,police,physical injury,5/8/2022,gulmi,deshsanchar.com
2081,opportunist,assault,police,physical injury,5/8/2022,gulmi,news24nepal.tv
2082,opportunist,assault,police,physical injury,6/8/2022,palpa,inseconline.org
2083,minor,assault,police,physical injury,7/8/2022,rupandehi,inseconline.org
2084,gang,assault,victim,physical injury,7/8/2022,dhanusa,inseconline.org
2085,opportunist,attempt,police,physical injury,7/8/2022,dang,setopati.com
2086,minor,assault,police,physical injury,8/8/2022,rupandehi,inseconline.org
2087,opportunist,assault,victim,physical injury,8/8/2022,rupandehi,inseconline.org
2088,opportunist,assault,police,physical injury,8/8/2022,gulmi,inseconline.org
2089,opportunist,assault,police,physical injury,8/8/2022,sankhuwasabha,inseconline.org
2090,opportunist,assault,victim,physical injury,8/8/2022,siraha,inseconline.org
2091,opportunist,assault,police,physical injury,8/8/2022,dang,inseconline.org
2092,opportunist,assault,police,physical injury,10/8/2022,bhaktapur,kharibot.com
2093,opportunist,assault,police,physical injury,10/8/2022,myagdi,inseconline.org
2094,opportunist,assault,police,physical injury,11/8/2022,chitwan,inseconline.org
2095,minor,assault,police,physical injury,11/8/2022,salyan,inseconline.org
2096,opportunist,attempt,victim,physical injury,11/8/2022,nawalparasi,inseconline.org
2097,opportunist,attempt,police,physical injury,12/8/2022,kapilvastu,inseconline.org
2098,opportunist,assault,victim,physical injury,12/8/2022,kapilvastu,inseconline.org
2099,opportunist,assault,parents,physical injury,13/08/2022,jumla,deshsanchar.com
2100,opportunist,assault,victim,physical injury,14/08/2022,humla,inseconline.org
2101,gang,assault,police,physical injury,14/08/2022,kapilvastu,inseconline.org
2102,gang,attempt,police,physical injury,15/08/2022,nuwakot,inseconline.org
2103,minor,assault,police,physical injury,16/08/2022,kailali,rajdhanidaily.com
2104,opportunist,attempt,police,physical injury,16/08/2022,mahottari,inseconline.org
2105,minor,assault,police,physical injury,16/08/2022,myagdi,kharibot.com
2106,opportunist,assault,police,physical injury,17/08/2022,lalitpur,kharibot.com
2107,opportunist,attempt,victim,physical injury,17/08/2022,ramechhap,imagekhabar.com
2108,opportunist,assault,police,physical injury,18/08/2022,okhaldhunga,newsofnepal.com
2109,minor,assault,police,physical injury,18/08/2022,kalikot,inseconline.org
2110,minor,assault,victim,physical injury,19/08/2022,lamjung,inseconline.org
2111,minor,assault,police,physical injury,19/08/2022,jhapa,deshsanchar.com
2112,minor,assault,police,physical injury,19/08/2022,panchthar,ekantipur.com
2113,opportunist,assault,police,physical injury,21/08/2022,siraha,inseconline.org
2114,opportunist,assault,police,physical injury,21/08/2022,kathmandu,onlinekhabar.com
2115,opportunist,attempt,victim,physical injury,21/08/2022,sarlahi,inseconline.org
2116,opportunist,assault,police,physical injury,22/08/2022,kathmandu,onlinekhabar.com
2117,opportunist,assault,police,physical injury,22/08/2022,kailali,inseconline.org
2118,opportunist,assault,police,physical injury,23/08/2022,salyan,inseconline.org
2119,opportunist,assault,family,physical injury,23/08/2022,salyan,inseconline.org
2120,opportunist,assault,police,physical injury,24/08/2022,baitadi,setopati.com
2121,minor,assault,police,physical injury,25/08/2022,taplejung,nagariknetwork.com
2122,minor,assault,police,physical injury,25/08/2022,baitadi,ekantipur.com
2123,minor,assault,police,physical injury,26/08/2022,rupandehi,inseconline.org
2124,opportunist,assault,police,physical injury,27/08/2022,dang,ratopati.com
2125,opportunist,assault,police,physical injury,28/08/2022,salyan,ekantipur.com
2126,opportunist,assault,police,physical injury,28/08/2022,jhapa,ratopati.com
2127,gang,assault,police,physical injury,29/08/2022,kaski,ekantipur.com
2128,opportunist,assault,police,physical injury,30/08/2022,lamjung,ekantipur.com
2129,opportunist,assault,victim,physical injury,30/08/2022,panchthar,inseconline.org
2130,opportunist,assault,police,physical injury,31/08/2022,jhapa,ratopati.com
2131,opportunist,attempt,police,physical injury,31/08/2022,parsa,inseconline.org
2132,gang,assault,police,physical injury,1/9/2022,morang,inseconline.org
2133,gang,assault,police,physical injury,1/9/2022,morang,inseconline.org
2134,opportunist,assault,victim,physical injury,2/9/2022,taplejung,inseconline.org
2135,minor,assault,family,physical injury,2/9/2022,kailali,inseconline.org
2136,opportunist,assault,police,physical injury,3/9/2022,parsa,inseconline.org
2137,opportunist,assault,police,physical injury,6/9/2022,bhaktapur,newsofnepal.com
2138,opportunist,assault,police,physical injury,10/9/2022,gorkha,inseconline.org
2139,opportunist,attempt,victim,physical injury,10/9/2022,siraha,inseconline.org
2140,opportunist,assault,police,physical injury,10/9/2022,lalitpur,inseconline.org
2141,minor,assault,parents,physical injury,11/9/2022,rupandehi,inseconline.org
2142,opportunist,assault,police,physical injury,11/9/2022,terhathum,inseconline.org
2143,opportunist,assault,police,physical injury,13/09/2022,jhapa,ratopati.com
2144,opportunist,assault,victim,physical injury,18/09/2022,sarlahi,inseconline.org
2145,opportunist,assault,police,physical injury,24/09/2022,dolakha,inseconline.org
2146,gang,assault,police,physical injury,27/09/2022,banke,kantipath.com
2147,opportunist,abuse,police,physical injury,27/09/2022,parsa,onlinekhabar.com
2148,minor,abuse,police,physical injury,27/09/2022,morang,pahilopost.com
2149,opportunist,assault,police,physical injury,28/09/2022,bhaktapur,ujyaaloonline.com
2150,opportunist,assault,police,physical injury,2/10/2022,rautahat,inseconline.org
2151,opportunist,assault,police,physical injury,8/10/2022,rupandehi,inseconline.org
2152,gang,assault,victim,physical injury,8/10/2022,mahottari,inseconline.org
2153,opportunist,assault,police,physical injury,10/10/2022,chitwan,nagariknetwork.com
2154,minor,assault,police,physical injury,10/10/2022,udayapur,onlinekhabar.com
2155,minor,assault,police,physical injury,10/10/2022,bhaktapur,onlinekhabar.com
2156,minor,assault,police,physical injury,11/10/2022,dang,onlinekhabar.com
2157,opportunist,attempt,police,physical injury,15/10/2022,dailekh,inseconline.org
2158,minor,assault,victim,physical injury,17/10/2022,rupandehi,inseconline.org
2159,opportunist,assault,police,physical injury,17/10/2022,dhanusa,nayapatrikadaily.com
2160,minor,assault,police,physical injury,21/10/2022,salyan,inseconline.org
2161,opportunist,assault,police,physical injury,23/10/2022,kapilvastu,inseconline.org
2162,minor,assault,police,physical injury,25/10/2022,parsa,onlinekhabar.com
2163,minor,assault,victim,physical injury,26/10/2022,sindhupalchowk,inseconline.org
2164,minor,assault,police,physical injury,28/10/2022,morang,ratopati.com
2165,minor,assault,police,physical injury,29/10/2022,dhading,inseconline.org
2166,opportunist,assault,police,physical injury,29/10/2022,salyan,ekantipur.com
2167,opportunist,assault,police,physical injury,30/10/2022,kailali,inseconline.org
2168,minor,assault,police,physical injury,21/10/2022,bhaktapur,kharibot.com
2169,opportunist,assault,police,physical injury,1/11/2022,kathmandu,nepalmonitor.org
2170,gang,assault,police,physical injury,2/11/2022,rupandehi,nepalpolice.gov.np
2171,opportunist,assault,police,physical injury,2/11/2022,tanahu,nepalmonitor.org
2172,opportunist,assault,police,physical injury,3/11/2022,dang,nepalpolice.gov.np
2173,opportunist,assault,police,physical injury,7/11/2022,kapilvastu,nepalpolice.gov.np
2174,minor,assault,police,physical injury,11/11/2022,kathmandu,nepalmonitor.org
2175,minor,assault,police,physical injury,14/11/2022,bhaktapur,nepalmonitor.org
2176,opportunist,assault,police,physical injury,14/11/2022,lalitpur,nepalmonitor.org
2177,gang,assault,police,physical injury,15/11/2022,lalitpur,nepalmonitor.org
2178,opportunist,assault,police,physical injury,18/11/2022,bhaktapur,nepalpolice.gov.np
2179,minor,assault,police,physical injury,23/11/2022,bhaktapur,nepalpolice.gov.np
2180,opportunist,assault,victim,physical injury,23/11/2022,dang,nepalmonitor.org
2181,opportunist,assault,police,physical injury,24/11/2022,dang,nepalmonitor.org
2182,minor,assault,victim,physical injury,28/11/2022,rupandehi,nepalmonitor.org
2183,opportunist,assault,police,physical injury,29/11/2022,okhaldhunga,nepalpolice.gov.np
2184,opportunist,assault,police,physical injury,30/11/2022,dolpa,nepalmonitor.org
2185,gang,assault,police,physical injury,1/12/2022,udayapur,nepalmonitor.org
2186,gang,assault,police,physical injury,2/12/2022,kailali,nepalmonitor.org
2187,opportunist,assault,police,physical injury,4/12/2022,dolpa,nepalpolice.gov.np
2188,opportunist,assault,police,physical injury,7/12/2022,terhathum,nepalpolice.gov.np
2189,opportunist,assault,victim,physical injury,10/12/2022,nuwakot,nepalmonitor.org
2190,opportunist,assault,police,physical injury,11/12/2022,gulmi,nepalpolice.gov.np
2191,gang,assault,police,physical injury,11/12/2022,kanchanpur,nepalpolice.gov.np
2192,gang,assault,police,physical injury,12/12/2022,baglung,nepalpolice.gov.np
2193,opportunist,assault,police,physical injury,14/12/2022,terhathum,nepalmonitor.org
2194,gang,assault,police,physical injury,15/12/2022,kanchanpur,nepalmonitor.org
2195,opportunist,assault,police,physical injury,17/12/2022,bardiya,nepalpolice.gov.np
2196,opportunist,assault,police,physical injury,18/12/2022,bhaktapur,nepalmonitor.org
2197,opportunist,assault,police,physical injury,18/12/2022,terhathum,nepalpolice.gov.np
2198,gang,assault,police,physical injury,19/12/2022,morang,nepalpolice.gov.np
2199,opportunist,assault,victim,physical injury,20/12/2022,bhojpur,nepalmonitor.org
2200,minor,assault,police,physical injury,21/12/2022,kanchanpur,nepalmonitor.org
2201,opportunist,assault,police,physical injury,22/12/2022,udayapur,nepalpolice.gov.np
2202,opportunist,assault,police,pregnant,24/12/2022,gorkha,inseconline.org
2203,opportunist,assault,police,physical injury,26/12/2022,palpa,nepalpolice.gov.np
2204,opportunist,assault,police,physical injury,27/12/2022,rupandehi,inseconline.org
2205,opportunist,assault,parents,physical injury,27/12/2022,rautahat,inseconline.org
2206,opportunist,assault,police,physical injury,28/12/2022,rupandehi,nepalpolice.gov.np
2207,opportunist,assault,parents,physical injury,29/12/2022,siraha,nepalmonitor.org
2208,minor,assault,police,physical injury,29/12/2022,solukhumbu,nepalmonitor.org
2209,opportunist,assault,victim,physical injury,28/11/2022,udayapur,nepalpolice.gov.np
2210,opportunist,attempt,victim,physical injury,1/1/2023,sindhupalchowk,nepalmonitor.org
2211,minor,assault,victim,physical injury,5/10/2022,bara,nepalmonitor.org
2212,opportunist,assault,victim,physical injury,2/1/2023,terhathum,inseconline.org
2213,opportunist,assault,victim,physical injury,2/1/2023,dang,nepalmonitor.org
2214,minor,assault,victim,physical injury,3/1/2023,sankhuwasabha,nepalmonitor.org
2215,minor,assault,police,physical injury,3/1/2023,morang,nepalpolice.gov.np
2216,minor,assault,police,physical injury,3/1/2023,sarlahi,ratopati.com
2217,opportunist,assault,victim,physical injury,4/1/2023,khotang,inseconline.org
2218,opportunist,assault,victim,physical injury,11/12/2022,syangja,inseconline.org
2219,opportunist,assault,victim,physical injury,5/1/2023,lalitpur,nepalmonitor.org
2220,opportunist,assault,victim,physical injury,5/1/2023,tanahu,nepalmonitor.org
2221,opportunist,attempt,victim,physical injury,6/1/2023,dhankuta,nepalmonitor.org
2222,minor,assault,victim,physical injury,7/1/2023,rupandehi,nepalmonitor.org
2223,opportunist,assault,victim,physical injury,5/1/2023,udayapur,nepalmonitor.org
2224,minor,assault,parents,physical injury,8/1/2023,bhaktapur,nepalmonitor.org
2225,opportunist,assault,police,physical injury,8/1/2023,lalitpur,nepalpolice.gov.np
2226,opportunist,assault,victim,physical injury,9/1/2023,dailekh,nepalmonitor.org
2227,opportunist,assault,victim,physical injury,27/06/2023,panchthar,nepalmonitor.org
2228,opportunist,assault,victim,physical injury,10/1/2023,rupandehi,inseconline.org
2229,opportunist,assault,police,physical injury,10/1/2023,baitadi,nepalmonitor.org
2230,minor,assault,police,physical injury,12/1/2023,sunsari,nepalpolice.gov.np
2231,minor,assault,police,physical injury,12/1/2023,solukhumbu,nepalmonitor.org
2232,minor,assault,victim,physical injury,13/01/2023,rupandehi,nepalmonitor.org
2233,opportunist,assault,police,physical injury,13/01/2023,nawalparasi,inseconline.org
2234,minor,assault,victim,physical injury,13/01/2023,jhapa,nepalmonitor.org
2235,minor,assault,parents,physical injury,14/01/2023,saptari,nepalmonitor.org
2236,gang,assault,victim,physical injury,14/01/2023,morang,nepalmonitor.org
2237,opportunist,assault,parents,physical injury,15/01/2023,rupandehi,nepalmonitor.org
2238,minor,assault,police,physical injury,16/01/2023,rupandehi,nepalmonitor.org
2239,opportunist,assault,police,physical injury,17/01/2023,dang,nepalpolice.gov.np
2240,opportunist,assault,police,physical injury,18/01/2023,baglung,nepalmonitor.org
2241,gang,assault,police,physical injury,19/01/2023,morang,nepalpolice.gov.np
2242,opportunist,assault,parents,physical injury,19/01/2023,jumla,nepalmonitor.org
2243,opportunist,attempt,police,physical injury,20/01/2023,sarlahi,nepalmonitor.org
2244,minor,assault,police,physical injury,21/01/2023,dang,nepalpolice.gov.np
2245,opportunist,assault,police,physical injury,23/01/2023,siraha,nepalmonitor.org
2246,minor,assault,parents,physical injury,24/01/2023,rautahat,nepalmonitor.org
2247,minor,assault,police,physical injury,25/01/2023,banke,nepalpolice.gov.np
2248,opportunist,assault,police,physical injury,4/1/2023,baglung,nepalpolice.gov.np
2249,minor,assault,police,physical injury,27/01/2023,siraha,nepalpolice.gov.np
2250,opportunist,assault,victim,physical injury,29/01/2023,sunsari,nepalmonitor.org
2251,minor,assault,police,physical injury,30/01/2023,terhathum,nepalpolice.gov.np
2252,minor,assault,police,physical injury,1/2/2023,kanchanpur,nepalpolice.gov.np
2253,opportunist,assault,parents,physical injury,1/2/2023,bhaktapur,nepalmonitor.org
